"name","followers","popularity"
"Junkie Kid",14928,43
"Darren Styles",65034,63
"Yakz",12993,41
"Blastoyz",55461,51
"Aweminus",15056,37
"Jon Rundell",4837,34
"Rick Trainor",187,6
"Midnight Tyrannosaurus",52656,46
"Ghastly",121001,54
"Spencer Brown",24375,54
"Alessandra Roncone",2556,32
"Ferry Tayle",9911,41
"Kristina Sky",988,18
"Opiuo",74446,48
"Low Steppa",46616,61
"Coone",139182,65
"Huxley Anne",3382,23
"DJ Soda",4901,32
"Cut Snake",14955,39
"Andrew Bayer",56823,55
"Dr. Fresch",47451,55
"Alan Fitzpatrick",96625,58
"DC Breaks",31084,47
"Sound Rush",32061,60
"Jantsen",17936,52
"Menno de Jong",7432,31
"Andrew Rayel",114287,61
"TV Noise",43577,48
"Stefano Noferini",32845,37
"Lil Texas",10258,44
